Time,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10
1331100,21.6667106990588,22.248923213527,22.1425083031907,21.5683187574719,20.7933587364766,20.0551107819355,19.5147444043149,19.2414228567527,19.222480750094,19.3897226411178,19.6511271069886
1332000,21.5,22.1675788330247,22.141037465711,21.6242675515802,20.8773312304742,20.1395849322298,19.5799362903243,19.2776781095373,19.2296282880802,19.3744079274317,19.6233216043444
1332900,21.326866070657,22.076952547187,22.1303983771066,21.673260982675,20.9575468574636,20.2234613584402,19.6469269536834,19.3170264556662,19.2400746762429,19.3617720955104,19.5971290973198
1333800,21.1480502970953,21.9774324316831,22.1106365955883,21.7150892533625,21.0336621218146,20.3063808888318,19.715429530085,19.3592993994761,19.2537751815359,19.3518692539091,19.5726617462189
1334700,20.9643183959095,21.8694446469261,22.0818367441382,21.7495732485659,21.1053510862796,20.3879884492444,19.7851506809783,19.4043159217277,19.2706711362838,19.3447418080998,19.5500243239641
1335600,20.7764571353076,21.753451613189,22.0441221481418,21.7765653025235,21.1723067677063,20.467934583575,19.8557918496895,19.4518832547578,19.2906901894065,19.3404202788838,19.5293137674431
1336500,20.5852709660484,21.6299500304498,21.997654307289,21.7959498311162,21.2342424515873,20.5458769502019,19.9270505398873,19.5017977079398,19.3137466162375,19.3389231716978,19.5106187624094
1337400,20.3915785766601,21.4994687514461,21.9426322040082,21.8076438268166,21.2908929198155,20.6214817879446,19.9986216109188,19.5538455399185,19.3397416856101,19.34025689737,19.4940193637168
1338300,20.1962093876904,21.3625665170463,21.8792914513927,21.8115972141395,21.3420155863882,20.6944253452799,20.0701985844683,19.6078038738834,19.3685640826392,19.3444157446682,19.4795866525121
1339200,20,21.2198295636359,21.8079032842695,21.8077930640733,21.3873915361985,20.7643952666961,20.1414749569448,19.6634416519613,19.400090385389,19.3513819047565,19.4673824318545
1340100,19.8037906123096,21.0718691127626,21.7287733977299,21.7962476665727,21.4268264624628,20.8310919302471,20.2121455119772,19.7205206246413,19.4341855933844,19.3611255474547,19.4574589620654
1341000,19.6084214233398,20.9193187537924,21.6422406380962,21.7770104608019,21.4601514987722,20.8942297305793,20.2819076273978,19.7787963709966,19.4707037057042,19.3736049489765,19.449858736942
1341900,19.4147290339516,20.7628317307824,21.5486755519298,21.7501638234295,21.487223942205,20.9535383019379,20.3504625711168,19.8380193453314,19.5094883461788,19.3887666705966,19.4446143017918
1342800,19.2235428646924,20.6030781451894,21.4484787992941,21.715822715878,21.5079278644017,21.0087636759147,20.4175167803391,19.8979359457746,19.5503734330175,19.4065457874836,19.4417481140688
1343700,19.0356816040905,20.4407420863927,21.3420794380663,21.674134192042,21.5221746079887,21.0596693689791,20.4827831186452,19.9582896002419,19.5931838899959,19.4268661667183,19.4412724472073
1344600,18.8519497029047,20.2765187023183,21.2299330866459,21.6252767685806,21.5299031662227,21.1060373951378,20.5459821055533,20.0188218651164,19.6377363961593,19.4496407933063,19.4431893380651
1345500,18.673133929343,20.1111112227089,21.1125199729266,21.5694596604818,21.5310804442303,21.1476691993836,20.6068431132976,20.0792735319442,19.6838401708314,19.4747721427898,19.4474905782011
1346400,18.5,19.945227947786,20.990342877887,21.5069218851714,21.5257014007263,21.1843865079387,20.6651055256982,20.1393857374047,19.7312977905657,19.502152598862,19.4541577490253
1347300,18.3332893009412,19.7795792151997,20.8639249826049,21.4379312390043,21.5137890696004,21.2160320916504,20.7205198541595,20.1989010718031,19.7799060345439,19.5316649141967,19.4631623006701
1348200,18.1737157129738,19.6148743582537,20.7338076279159,21.362783150519,21.4953944612833,21.2424704392706,20.7728488060185,20.2575646813382,19.8294567547981,19.5631827125194,19.474465674245
1349100,18.0219625546998,19.4518186684315,20.6005479963087,21.281799415367,21.4705963443114,21.2635883377351,20.8218683006687,20.3151253594256,19.8797377675323,19.5965710297701,19.4880194669516
1350000,17.8786796564403,19.2911103752295,20.4647167259844,21.1953268183352,21.4395009080284,21.2792953569604,20.8673684291072,20.3713366224026,19.9305337617264,19.6316868920397,19.503765639352
1350900,17.744480577563,19.1334376562317,20.3268954672955,21.1037356483595,21.4022413078663,21.2895242370782,20.9091543527979,20.4259577650094,19.9816272211306,19.6683799278065,19.5216367639024
1351800,17.6199399791263,18.9794756902272,20.1876743920304,21.0074181128909,21.358977095153,21.294231176453,20.9470471379993,20.4787548911257,20.0327993557036,19.7064930118501,19.5415563136885
1352700,17.5055911630924,18.8298837659911,20.047649666207,20.9067866584032,21.309893533889,21.2933960192475,20.980884521987,20.5295019153499,20.0838310385052,19.7458629380856,19.5634389901248
1353600,17.4019237886467,18.6853024591087,19.9074208971983,20.8022722042336,21.2552008074191,21.2870223417325,21.0105216078869,20.5779815311317,20.1345037440314,19.7863211184371,19.5871910882171
1354500,17.3093817754019,18.5463508889325,19.7675885661214,20.6943222973203,21.1951331183943,21.2751374369732,21.0358314851465,20.6239861413117,20.1846004839738,19.8276943047579,19.6127108978207
1355400,17.2283614024661,18.4136240674184,19.6287514564854,20.5833991957372,21.1299476858808,21.2577921979562,21.0567057729849,20.6673187470846,20.2339067363977,19.8698053307055,19.6398891391796
1356300,17.1592096115147,18.2876903511926,19.4915040901085,20.4699778892346,21.0599236439077,21.2350608996574,21.073055084496,20.7077937915784,20.282211364357,19.912473870395,19.668609430879
1357200,17.1022225211328,18.1690890077617,19.356434181284,20.3545440652596,20.9853608461729,21.2070408809855,21.0848094094172,20.745237954437,20.3293075200157,19.9555172105825,19.6987487882081
1358100,17.0576441587903,18.0583279062863,19.2241201200978,20.2375920291681,20.9065785820234,21.1738521279619,21.0919184139239,20.779490894005,20.3749935304019,19.9987510330707,19.7301781497996
1359000,17.0256654158786,17.9558813428072,19.0951284956731,20.1196225875333,20.8239142092089,21.1356367599218,21.0943516561667,20.810405933935,20.419073761002,20.0419902039886,19.7627629302905
1359900,17.0064232302842,17.8621880092372,18.9700116699488,20.0011409036154,20.7377217092645,21.092558420938,21.092098716628,20.8378506912785,20.4613594534985,20.0850495665621,19.796363596637
1360800,17,17.7776491148146,18.849305412381,19.8826543341745,20.6483701717073,21.044801579071,21.0851692427402,20.8617076433697,20.5016695340614,20.1277447339846,19.8308362656166
1361700,17.0064232302842,17.7026266680639,18.7335266056957,19.7646702568911,20.5562422135387,20.9925707364493,21.0735929075737,20.8818746310758,20.5398313887345,20.169892878989,19.8660333199579
1362600,17.0256654158786,17.63744192662,18.6231710325178,19.6476938976975,20.461732340819,20.9360895535593,21.0574192827722,20.8982652962582,20.5756816025947,20.2113135167426,19.9018040404607
1363500,17.0576441587903,17.5823740215528,18.5187112523537,19.5322261673223,20.3652452593326,20.875599891497,21.0367176262795,20.9108094515708,20.60906665952,20.2518292777105,19.9379952513985
1364400,17.1022225211328,17.5376587620862,18.420594578019,19.4187615163136,20.2671941415752,20.8113607762816,21.0115765857665,20.9194533810137,20.6398435995687,20.2912666671792,19.9744519764404
1365300,17.1592096115147,17.503487625826,18.3292411601763,19.3077858177267,20.167998857486,20.7436472896664,20.9821038190277,20.9241600699528,20.6678806311564,20.329456808188,20.0110181022841
1366200,17.2283614024661,17.4800069388235,18.2450421881858,19.1997742865399,20.0680841765002,20.6727493911965,20.9484255329746,20.9249093636223,20.693057695407,20.3662361646853,20.0475370471561
1367100,17.3093817754019,17.4673172489855,18.1683582149718,19.0951894447122,19.9678779486208,20.5989706765573,20.9106859431978,20.9216980534306,20.7152669802641,20.401447241816,20.0838524313196
1368000,17.4019237886467,17.465472895512,18.0995176130805,18.9944791405922,19.8678092722994,20.5226270775313,20.8690466564142,20.9145398907,20.7344133821582,20.4349392603378,20.1198087467165
1368900,17.5055911630924,17.4744817762077,18.0388151685376,18.8980746311636,19.7683066569708,20.4440455091298,20.8236859784419,20.9034655277812,20.7504149132548,20.4665688022817,20.1552520228763
1369800,17.6199399791263,17.4943053136624,17.9865108185299,18.806388735336,19.6697961881097,20.3635624696927,20.7747981506675,20.8885223867954,20.7632030525394,20.4962004250893,20.1900304862416
1370700,17.7444805775631,17.5248586204452,17.9428285383142,18.7198140661911,19.5726997026671,20.2815225999504,20.7225925182743,20.8697744565655,20.7727230392343,20.5237072415988,20.2239952100857
1371600,17.8786796564404,17.566010862606,17.9079553821203,18.6387213497534,19.4774329827002,20.1982772072202,20.6672926337947,20.8473020186062,20.7789341072931,20.5489714633955,20.2570007522399
1372500,18.0219625546998,17.6175858199261,17.8820406821571,18.5634578374842,19.3844039749296,20.1141827610535,20.6091352998234,20.8212013033458,20.7818096599672,20.5718849051995,20.2889057778987
1373400,18.1737157129739,17.6793626405201,17.8651954091482,18.4943458192976,19.2940110438483,20.0295993667791,20.5483695549925,20.7915840780535,20.7813373836968,20.5923494481319,20.3195736648378
1374300,18.3332893009412,17.7510767865583,17.8574916971387,18.4316812434658,19.2066412658646,19.9448892234764,20.48525560755,20.7585771682339,20.7775193008397,20.6102774598748,20.3488730884507
1375200,18.5,17.8324211670574,17.8589625346062,18.375732449323,19.122668771781,19.8604150729841,20.4200637211078,20.7223219145415,20.7703717610114,20.6255921699266,20.3766785841014
