Time,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10
34200,22.2282487119226,20.2436439619127,20.0438453317723,20.0123177660792,20.0029301242638,20.0005165450449,20.000074904886,20.0000093960211,20.0000010285666,20.0000000976699,20.0000000079659
35100,18.7802385518249,20.2463250598262,20.0473742545237,20.0120522969934,20.0029485229287,20.0005454876271,20.0000820156236,20.0000106077045,20.0000011991284,20.000000118144,20.0000000100593
36000,21.5105480448127,20.2248499751384,20.050046894817,20.0119835095222,20.0029524414539,20.0005711545776,20.0000891652134,20.0000118949689,20.0000013869881,20.0000001414972,20.0000000125435
36900,19.4963305069409,20.2015539854831,20.0518839629566,20.0120610329157,20.0029517678901,20.0005933793124,20.0000962368023,20.0000132498063,20.0000015924029,20.0000001679204,20.0000000154614
37800,19.899515949048,20.1830173313728,20.0523894316731,20.0122242216105,20.0029541059659,20.0006123939872,20.0001031191472,20.0000146612514,20.0000018153502,20.0000001975891,20.0000000188567
38700,19.4922963591714,20.1487918263172,20.052016346466,20.012410696971,20.0029635186678,20.000628734635,20.0001097208696,20.0000161158038,20.0000020554614,20.0000002306569,20.0000000227733
39600,21.3634435248747,20.1167860757004,20.0506135197011,20.0125710585217,20.002980815094,20.0006430744124,20.0001159809017,20.0000175983346,20.0000023119728,20.000000267247,20.0000000272543
40500,19.3328597268688,20.1151078554672,20.0481937788772,20.0126705112793,20.0030043489618,20.000656063028,20.0001218720412,20.000019093328,20.0000025837098,20.0000003074433,20.0000000323415
41400,18.904658195673,20.1083473327815,20.0454667231806,20.0126794388194,20.0030310656568,20.0006682140164,20.0001273973812,20.0000205861916,20.0000028691158,20.0000003512814,20.0000000380742
42300,21.3294674519305,20.0698399001029,20.0430807768662,20.0125867538128,20.0030571823586,20.0006798503807,20.0001325818224,20.0000220643467,20.000003166325,20.0000003987412,20.0000000444879
43200,19.8648567432453,20.0649626143191,20.040267524083,20.0124106391586,20.0030788059281,20.000691096283,20.0001374616536,20.0000235178942,20.0000034732709,20.0000004497435,20.000000051613
44100,21.0423807472721,20.0759924183402,20.0370865469104,20.0121649082217,20.0030928798216,20.0007018973049,20.0001420747046,20.0000249397894,20.0000037878099,20.000000504149,20.0000000594735
45000,19.9721661370808,20.0879007274409,20.0345697781637,20.0118470181807,20.0030975590864,20.0007120678255,20.0001464525316,20.0000263255814,20.0000041078403,20.0000005617639,20.0000000680859
45900,20.9043110619596,20.0954175995613,20.0328734719433,20.0114751352219,20.0030916069864,20.0007213562172,20.0001506153947,20.0000276728463,20.0000044313994,20.0000006223475,20.000000077458
46800,16.6533259658184,20.0974486348702,20.0319065219653,20.0110855874799,20.0030743386497,20.0007294946598,20.0001545704098,20.0000289804672,20.0000047567264,20.000000685624,20.0000000875887
47700,21.1987961921182,20.0416394925209,20.031263981945,20.0107120251635,20.0030462233953,20.0007362264919,20.0001583123637,20.0000302479089,20.0000050822894,20.0000007512947,20.0000000984675
48600,23.2803414137408,20.008447443476,20.0298069003699,20.0103724213211,20.0030089949609,20.0007413373408,20.000161825963,20.0000314746044,20.0000054067786,20.0000008190496,20.0000001100756
49500,22.0589340097708,20.080186123659,20.026747999764,20.0100535525774,20.0029651196421,20.0007446935906,20.0001650888334,20.0000326595178,20.0000057290753,20.0000008885779,20.0000001223859
50400,21.8663448691877,20.1687176530715,20.0248194599111,20.0097036223818,20.0029167837056,20.0007462672311,20.0001680752886,20.0000338008936,20.0000060482043,20.0000009595756,20.0000001353647
